District_code|School_code|School_name
AN|AN0165|RAJAMAHAL HIGH SCHOOL NAGASHETTYHALLI  BLORE CITY BANGALORE NORTH 
AN|AN0166|SIDDHARTHA GOWTAMA HIGH SCHOOL KAMAKSHIPALYA  BANAGALORE CITY BANGALORE NORTH 
AN|AN0167|K N GEETHA HIGH SCHOOL KANTHIRAVANAGAR BANGALORE NORTH 
AN|AN0168|S KADAMBI VIDYAKENDRA HIGH SCHOOL I BLOCK III STAGE W C ROAD RAJAJINAGAR BANGALORE NORTH 
AN|AN0169|CLUNY CONVENT HIGH SCHOOL JALAHALLY BANGALORE NORTH 
AN|AN0171|GANDHI SMARAKA HIGH SCHOOL KAVAL BHAIRASANDRA   R T NAGAR BANGALORE NORTH 
AN|AN0172|IYER HIGH SCHOOL HMT MAIN ROAD  MATHIKERE BANGALORE NORTH 
AN|AN0173|THE COLONEL HILL ENGLISH HIGH SCHOOL NO.3 COLONEL HILL ROAD BANGALORE NORTH 
AN|AN0174|VIDYANIKETAN HIGH SCHOOL MATADAHALLI BANGALORE NORTH 
AN|AN0175|'ST.MIRA''S HIGH SCHOOL VI BLOCK RAJAJINAGAR BANGALORE NORTH '
AN|AN0176|'ST.ANN''S HIGH SCHOOL 742 VI BLOCK  RAJAJINAGAR BANGALORE NORTH '
AN|AN0177|ST.LOURDES HIGH SCHOOL I MAIN  MATHIKERE BANGALORE NORTH 
AN|AN0178|PANCHJANYA VIDYAPEETHA HIGH SCHOOL 15TH MAIN MATHIKERE BANGALORE NORTH 
AN|AN0179|TAGORE MEMORIAL HIGH SCHOOL MARAPPANAHALLI YESHAVANTHPUR BANGALORE NORTH 
AN|AN0180|BANGALORE EDUCATION SOC HIGH SCHOOL 8TH CROSS MALLESHWARAM BANGALORE NORTH 
AN|AN0181|ADARSHA VIDYALAYA HIGH SCHOOL I BLOCK R T NAGAR BANGALORE NORTH 
AN|AN0182|TAGORE MEMORIAL HIGH SCHOOL IV BLOCK IIND MAIN RAJAJINAGAR BANGALORE NORTH 
AN|AN0183|SRI GANGADHARESHWAR HIGH SCHOOL KAMALANAGAR BANGALORE NORTH 
AN|AN0184|SRI SWAMY SHIVANANDA EDN SOC HIGH SCHOOL SAMPIGE ROAD MALLESHWAEAM BANGALORE NORTH 
AN|AN0185|SRI PANDITHARADHYA HIGH SCHOOL HUNASEMARANAHALLI BANGALORE NORTH 
AN|AN0186|SRI CHANNAKESHAVASWAMY HIGH SCHOOL SONDEKOPPA BANGALORE NORTH 
AN|AN0187|GOVERNMENT HIGH SCHOOL MAKALI  ALUR POST  NELAMANGALA TQ BANGALORE DISTRICT 
AN|AN0188|BHORUKA ENGLISH HIGH SCHOOL 11 MILE  TUMKUR RD  MADAVARA POST BANGALORE NORTH 
AN|AN0189|JINDAL HIGH SCHOOL 16TH K.M. TUMKUR ROAD BANGALORE NORTH 
AN|AN0190|GOVERNMENT HIGH SCHOOL BAGALUR BANGALORE NORTH 
AN|AN0191|ST PHILOMENA HIGH SCHOOL 23 JARAKABANDE KAVAL  SHANKARNAGAR BANGALORE NORTH 
AN|AN0192|JAGADGURU SRI JAYDEVA HIGH SCHOOL KAMAKSHIPALYA BANGALORE NORTH 
AN|AN0193|SRI VEENASHARADA HIGH SCHOOL ANJANEYASWAMY TEMPLE STREET YASHAVANTPUR BANGALORE NORTH 
AN|AN0194|BETHASDA HIGH SCHOOL 51  KUMARAPARK WEST BANGALORE NORTH 
AN|AN0195|SOPHIA KANNADA HIGH SCHOOL KADUGONDANAHALLI BANGALORE NORTH 
AN|AN0196|BANGALORE TAMIL SOCIETY KAMARAJAR H S 59  ANNASWAMY MUDALIYAR ROAD BANGALORE NORTH 
AN|AN0197|CAMBRIDGE ENGLISH HIGH SCHOOL YALAHANKA BANGALORE 
AN|AN0198|VIDYABHARATHI ENGLISH HIGH SCHOOL NO 463 WEST OF CHORD ROAD IIND STAGE BANGALORE NORTH 
AN|AN0199|ST J.G. MARGARET HIGH SCHOOL CHURCH ROAD BENSON TOWN BANGALORE 
AN|AN0200|INDIAN HIGH SCHOOL NO.74, IST STAGE, 3RD PHASE WEST OF CHORD ROAD MANJUNATHANAGARA ,BANGALORE
AN|AN0201|V.S.M. HIGH SCHOOL NO 682 A IV BLOCK RAJAJINAGAR BANGALORE 
AN|AN0202|BENHUR HIGH SCHOOL FIRST MAIN WILLIAMS TOWN BANGALORE 
AN|AN0203|'NEHRU ENGLISH MEDIUM HIGH SCHOOL SAINT JOHN''S CHURCH ROAD BANGALORE '
AN|AN0204|VYALIKAVAL EDUCATION SOCIETY HIGH SCHOOL GAYATHRI DEVI PARK EXTENSION BANGALORE 
AN|AN0205|SHRI. VEENA  HIGH SCHOOL, LAKSHMIDEVI NAGAR, BANGALORE 
AN|AN0206|CITIZEN`S HIGH SCHOOL 12TH CROSS SAGAYAPURAM BANGALORE 
AN|AN0207|'SJR HIGH SCHOOL NO 1050 IV ''M'' BLOCK SSI AREA RAJAJINAGAR BANGALORE '
AN|AN0208|PEENYA EDUCATION SOCIETY HIGH SCHOOL SRS ROAD  PEENYA BANGALORE 
AN|AN0209|SHILPASREE HIGH SCHOOL MAGADI ROAD SUNKADHAKATTE VISHWANEEDAM POST BANGALORE 
AN|AN0210|CHANDRA HIGH SCHOOL NO 29 I CROSS PRAKASH NAGAR BANGALORE 
AN|AN0211|MARUTHI VIDYALAYA HIGH SCHOOL SUBBAIAHNA PALYA BANGALORE 
AN|AN0212|VIDYASAGAR HIGH SCHOOL KAMAKSHIPALYA   BASAVESWARANAGAR BANGALORE 
AN|AN0213|FLORENCE ENGLISH HIGH SCHOOL RAJMAHAL VILAS II STAGE EXTENTION SANJAYANAGAR BANGALORE 
AN|AN0214|FLORENCE PUBLIC HIGH SCHOOL NO 6 P&T COLONY R.T.NAGAR BANGALORE 
AN|AN0215|'SRIVANI HIGH SCHOOL CA - SITE NO 1 4''B'' MAIN,BASAVESWARANAGAR BASAVEWARANAGAR BANGALORE '
AN|AN0217|SRI BASAVESHWARA HIGH SCHOOL THOTAGERE  DASANAPURA HOBLI BANGALORE NORTH 
AN|AN0218|SRI BASAVESHWARA HIGH SCHOOL GANGONDANAHALLY BANGALORE NORTH 
AN|AN0219|K M W A VIDYANIKETHAN HIGH SCHOOL 12TH CROSS 4TH MAIN WEST OF CHORD ROAD BANGALORE 
AN|AN0221|NAVACHETHANA HIGH SCHOOL SINGANAYAKANAHALLY BANGALORE NORTH 
AN|AN0223|GOVERNMENT HIGH SCHOOL INDIAN INSTITUTE OF SCIENCE BANGALORE 
AN|AN0224|M E S KISHORE KENDRA HIGH SCHOOL 62 10TH MAIN MALLESWARAM BANGALORE 
AN|AN0225|'B K S HIGH SCHOOL NO 37/1 SAINT JOHN''S ROAD BANGALORE '
AN|AN0227|'ST.MIRA''S HIGH SCHOOL NO.52, 3RD STAGE, 4TH BLOCK, SATYANARAYANA, LAYOUT, BASAVESHWARANAGAR ,BANGALORE'
AN|AN0228|GOVERNMENT HIGH SCHOOL PRAKASHNAGAR BANGALORE 
AN|AN0229|GOVERNMENT HIGH SCHOOL SARVAGNANAGAR COX TOWN  M M ROAD BANGALORE 
AN|AN0230|VISWESWARAIAH HIGH SCHOOL NO 8 RAJAGOPALNAGAR   PEENYA II STAGE BANGALORE 
AN|AN0232|NAGASENA VIDYALAYA(ENG MED) HIGH SCHOOL 292 15TH MAIN 9TH CROSS RAJMAHAL VILAS BANGALORE 
AN|AN0233|GOVERNMENT HIGH SCHOOL JAKKUR BANGALORE NORTH 
AN|AN0235|GOVERNMENT HIGH SCHOOL SHANTHINAGAR(RAHUTHANAHALLY) BANGALORE NORTH 
AN|AN0236|R.T. NAGAR HIGH SCHOOL 10/13 K H M BLOCK GANGANAGAR BANGALORE NORTH 
AN|AN0237|LITTLE LILLYS ENGLISH HIGH SCHOOL 201, MAHALAKSHMI LAYOUT BANGALORE 
AN|AN0238|SHREYAS HIGH SCHOOL KAMAKSHIPALYA BANGALORE 
AN|AN0239|SHASTRI MEMORIAL HIGH SCHOOL K N EXTENSION   YESHAWANTHPUR BANGALORE 
AN|AN0240|GNANATHEJA HIGH SCHOOL 9TH MAIN   MATHIKERE BANGALORE 
AN|AN0241|NIRMAL HIGH SCHOOL SRIRAMPURAM BANGALORE 
AN|AN0242|ST.  JAMES HIGH SCHOOL MARIYANNAPALYA, H.A.FARM POST. BANGALORE 
AN|AN0243|ANNAPURNA HIGH SCHOOL LAKSHMIPURA CORSS, VIDYARANYAPUR, BANGALORE 
AN|AN0244|SPOORTHINEKETHANA HIGH SCHOOL 12TH CROSS PILLANNA GARDEN BANGALORE 
AN|AN0245|MATHIKERE CAMBRIDGE EDUCATION SOC ENG HS 10TH MAIN   GOKULA BANGALORE 
AN|AN0246|GOVERNMENT HIGH SCHOOL SANEGORAVANAHALLI,BASAVESWARANAGAR BANGALORE 
AN|AN0247|POORNAPRAGNYA HIGH SCHOOL YELAHANKA SATELLITE TOWN BANGALORE 
AN|AN0249|PREMIER HIGH SCHOOL SRIRAMPURAM BANGALORE 
AN|AN0250|'SRI GNANAJYOTHI KANNADA NO 61/1 4TH ''N'' BLOCK RAJAJINAGAR BANGALORE '
AN|AN0251|SAINT CHARLES ENGLISH HIGH SCHOOL YESHWANTHPURA BANGALORE 
AN|AN0252|INDIAN PUBLIC HIGH SCHOOL NO 9/3 TEMPLE CROSS RD SULTANPALYA RTNGR BANGALORE 
AN|AN0253|GOOD HOPE ENGLISH HIGH SCHOOL 9TH CROSS CHINNAPPAGARDEN BANGALORE 
AN|AN0254|MORNING STAR HIGH SCHOOL RAMACHANDRAPURA BANGALORE 
AN|AN0255|SRI GEETHA HIGH SCHOOL PRASHANTHANAGAR T DASARAHALLY BANGALORE 
AN|AN0256|L C R ENGLISH HIGH SCHOOL GOKUL BANGALORE 
AN|AN0257|SHESHADRIPURAM HIGH SCHOOL YELAHANKA SATELLITE TOWN BANGALORE 
AN|AN0258|SRI SHANKARESHWARA HIGH SCHOOL NO 18 PARVATHINGAR(NR MEI COLONY)LAGGERE BANGALORE 
AN|AN0259|G R V ENGLISH HIGH SCHOOL #20, 2ND CROSS, JUMMA MASID ROAD, GANGA NAGARA, BANGALORE 
AN|AN0260|A U HIGH SCHOOL PALACE GUTTAHALLY BANGALORE 
AN|AN0261|LOHITH HIGH SCHOOL SUNKADA KATTE BANGALORE 
AN|AN0262|ELITE ENGLISH MEDIUM HIGH SCHOOL VITH CROSS,BANDIREDDY CIRCLESRIRAMPURM BANGALORE 
AN|AN0264|ROIAL HIGH SCHOOL MANJUNATHANAGAR BANGALORE 
AN|AN0265|SRI ASNGI MARUTHI HIGH SCHOOL NAGAWARA BANGALORE 
AN|AN0266|MAXMILLER HIGH SCHOOL NO 20   I-STAGE,KHB COLONY,BASAVESWARNGR BANGALORE 
AN|AN0267|GEM ENGLISH HIGH SCHOOL VENKATESHPURAM BANGALORE 
AN|AN0268|SOUTHERN CONVENT HIGH SCHOOL PRAKASHNAGAR, BANGALORE 
AN|AN0271|'CHINAMAYA VIDYALAYA HIGH SCHOOL NO 16 ST JOHN''S ROAD BANGALORE '
AN|AN0273|MODERN PUBLIC ENG MEDIUM HIGH SCHOOL GANGANAGAR BANGALORE 
AN|AN0276|M G E S ENGLISH MEDIUM HIGH SCHOOL MUNIREDDYPALYA BANGALORE 
AN|AN0277|MARIAM NILAYA HIGH SCHOOL BANASWADI PO BANGALORE 
AN|AN0278|MATHRUSHREE LAKSHAMMA K HIGH SCHOOL SHAKTHI GANGOTHINAGAR(KAMALANAGAR) BANGALORE 
AN|AN0279|GOVERNMENT HIGH SCHOOL GOREGUNTEPALYA BANGALORE 
AN|AN0280|SARVODAYA VINOBA HIGH SCHOOL PEENYA II STAGE BANGALORE 
