sl no|  block   |     cluster     |          school_name           | klp_id | cls1_cnt | cls2_cnt | cls3_cnt | cls4_cnt | cls5_cnt | cls6_cnt | cls7_cnt 
226| hosakote | doddanhulluru   | GULPS CHIKKAHULLUR             |36231|0|9|3|3|2|9|0
227| hosakote | doddanallala    | GHPS THAVATAHALLI              |36233|0|3|2|5|9|11|0
228| hosakote | doddanallala    | GHPS DODDANALLALA              |36235|0|6|4|8|26|5|0
229| hosakote | doddanallala    | GHPS CHIKKATHAGGALI            |36236|0|2|3|3|12|6|0
230| hosakote | doddanallala    | GHPS DODDENAHALLI              |36237|0|7|7|7|18|19|0
231| hosakote | t agrahara      | GUHPS THAMMARASANAHALLI        |36238|0|6|3|3|6|4|0
232| hosakote | t agrahara      | GLPS BHUVANAHALLI              |36239|0|4|7|4|9|6|0
233| hosakote | jadigenahalli   | G HPS KB HOSAHALLI             |35969|0|8|4|8|6|13|0
234| hosakote | t agrahara      | GHPS T AGRAHARA                |36240|0|4|12|9|5|10|0
235| hosakote | t agrahara      | GHPS BAVAPURA                  |36241|0|3|5|4|11|5|0
236| hosakote | t agrahara      | GLPS SHASHIMAKANA HALLI        |36242|0|4|3|3|4|0|0
237| hosakote | t agrahara      | GHPS GOLLAHALLI                |36244|0|11|13|18|13|16|0
238| hosakote | t agrahara      | GLPS HOSADIMBAHALLI            |36245|0|3|3|3|5|3|0
239| hosakote | t agrahara      | GHPS DODDARALAGERE             |36246|0|5|16|11|11|8|0
240| hosakote | doddanallala    | GLPS INJANAHALLI               |36247|0|1|3|3|2|2|0
241| hosakote | bilanarasapura  | G LPS AGASARAHALLI             |35926|0|5|1|1|7|2|0
242| hosakote | bilanarasapura  | G HPS KORATI                   |35916|0|8|13|12|11|13|0
243| hosakote | doddagattinabbe | G LPS S. GUTTAHALLI            |36007|0|12|20|14|15|15|0
244| hosakote | mugbala         | G ULPS NIDAGHATTA              |36063|0|3|6|3|3|3|0
245| hosakote | vagata          | G HPS THINDLU                  |35985|0|3|2|1|3|2|0
246| hosakote | hosakote town   | G KGKMS TOWN                   |36248|0|46|41|63|50|60|0
247| hosakote | doddanallala    | GLPS THAGALIHOSAHALLI          |36204|0|9|6|4|6|5|0
248| hosakote | doddanallala    | G LPS APPASANDRA               |35954|0|6|6|5|8|3|0
249| hosakote | thavarekere     | GLPS BANDAHALLI                |36273|0|9|7|6|11|9|0
250| hosakote | nelavagilu      | G HPS SIDDANAHALLI             |35913|0|6|8|2|8|6|0
251| hosakote | jadigenahalli   | GKHPS KATTIGENAHALLI           |36297|0|15|12|20|11|0|0
252| hosakote | jadigenahalli   | G UHPS KATTIGENAHALLI          |36089|0|21|18|21|32|26|0
253| hosakote | doddagattinabbe | GLPS CHEEMANDA HALLI           |36649|0|14|5|4|4|6|0
254| hosakote | doddagattinabbe | G ULPS BISANAHALLI             |36097|0|0|5|3|3|2|0
255| hosakote | doddanallala    | G LPS DODDATHAGGALI            |35960|0|4|6|4|3|3|0
256| hosakote | doddanallala    | G HPS UMMALU                   |35950|0|15|9|13|7|16|0
257| hosakote | mugbala         | G LPS CHINANDAHALLI            |35943|0|9|6|6|5|6|0
258| hosakote | mugbala         | G LPS DABBAGUNTAHALLI          |35945|0|7|6|6|9|7|0
259| hosakote | mugbala         | G ULPS MUGABALA                |36058|0|3|6|1|4|1|0
260| hosakote | t agrahara      | G LPS SIDDENAHALLI             |35877|0|7|6|4|6|0|0
261| hosakote | t agrahara      | G LPS BETTAHALLI               |35878|0|8|6|4|6|1|0
262| hosakote | nelavagilu      | GULPS SIDDANAHALLI             |36802|0|2|3|3|2|0|0
